history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MOEX10;2020-10-05;Индекс МосБиржи 10;Индекс МосБиржи 10;4768,53;4739,57;4769,04;4698,03;37940517684,1;0;0;2;9985129047940;RUB;5009,220000
SNDX;MOEX10;2020-10-02;Индекс МосБиржи 10;Индекс МосБиржи 10;4721,14;4719,13;4734,66;4681,2;52560247972,7;0;0;2;9864391285880;RUB;5009,220000
SNDX;MOEX10;2020-10-01;Индекс МосБиржи 10;Индекс МосБиржи 10;4789,63;4840,07;4856,81;4787,6;43566035221,1;0;0;2;10084205521100;RUB;5009,220000
SNDX;MOEX10;2020-09-30;Индекс МосБиржи 10;Индекс МосБиржи 10;4831,01;4833,25;4862,4;4814,96;40399476249,4;0;0;2;10161174360000;RUB;5009,220000
SNDX;MOEX10;2020-09-29;Индекс МосБиржи 10;Индекс МосБиржи 10;4842,92;4888,88;4906,88;4798,81;51759132477,8;0;0;2;10150854003300;RUB;5009,220000
SNDX;MOEX10;2020-09-28;Индекс МосБиржи 10;Индекс МосБиржи 10;4864,16;4830,18;4881,1;4830,18;46201501471,6;0;0;2;10229132877500;RUB;5009,220000
SNDX;MOEX10;2020-09-25;Индекс МосБиржи 10;Индекс МосБиржи 10;4811,71;4844,59;4845,03;4775,58;51350705517;0;0;2;10124991686500;RUB;5009,220000
SNDX;MOEX10;2020-09-24;Индекс МосБиржи 10;Индекс МосБиржи 10;4849,18;4839,02;4857,72;4785,03;57463173113,2;0;0;2;10221071888700;RUB;5009,220000
SNDX;MOEX10;2020-09-23;Индекс МосБиржи 10;Индекс МосБиржи 10;4859,79;4889,65;4948,99;4857,24;105967489063;0;0;2;10226919425200;RUB;5009,220000
SNDX;MOEX10;2020-09-22;Индекс МосБиржи 10;Индекс МосБиржи 10;4804,79;4813,32;4864,96;4790,92;46414094749;0;0;2;10067656604300;RUB;5009,220000
SNDX;MOEX10;2020-09-21;Индекс МосБиржи 10;Индекс МосБиржи 10;4797,3;4957,27;4957,27;4781,57;55507986453,9;0;0;2;9997189983070;RUB;5009,220000
SNDX;MOEX10;2020-09-18;Индекс МосБиржи 10;Индекс МосБиржи 10;4970,6;5024,84;5029,23;4957,33;52260085722;0;0;2;10326591291400;RUB;5009,220000
SNDX;MOEX10;2020-09-17;Индекс МосБиржи 10;Индекс МосБиржи 10;5009,22;4993,32;5016,57;4982,41;45907716395,7;0;0;2;9082623314460;RUB;4928,350000
SNDX;MOEX10;2020-09-16;Индекс МосБиржи 10;Индекс МосБиржи 10;5021,43;5041,6;5065,83;4997,44;45932319932,2;0;0;2;9091455794340;RUB;4928,350000
SNDX;MOEX10;2020-09-15;Индекс МосБиржи 10;Индекс МосБиржи 10;5031,64;4949,28;5036,9;4943,98;44226179617,6;0;0;2;9122749107220;RUB;4928,350000
SNDX;MOEX10;2020-09-14;Индекс МосБиржи 10;Индекс МосБиржи 10;4936,17;4921,51;4961,61;4920,17;36055913071,2;0;0;2;8920114898180;RUB;4928,350000
SNDX;MOEX10;2020-09-11;Индекс МосБиржи 10;Индекс МосБиржи 10;4904,38;4881,66;4912,73;4858,34;30265016638,7;0;0;2;8841644189630;RUB;4928,350000
SNDX;MOEX10;2020-09-10;Индекс МосБиржи 10;Индекс МосБиржи 10;4895,45;4878,46;4895,45;4824,21;34998850610;0;0;2;8801373124150;RUB;4928,350000
SNDX;MOEX10;2020-09-09;Индекс МосБиржи 10;Индекс МосБиржи 10;4861,3;4847,41;4884,72;4838,81;30597069949,2;0;0;2;8728763242990;RUB;4928,350000
SNDX;MOEX10;2020-09-08;Индекс МосБиржи 10;Индекс МосБиржи 10;4850,69;4913,62;4932,58;4823,59;44338621055,1;0;0;2;8739766993730;RUB;4928,350000


